SPECIES_NAME,SCIENTIFIC_NAME,IUCN_CATEGORY,POPULATION_TREND
Serra Spanish mackerel,Scomberomorus brasiliensis,Least Concern,Decreasing
Shallow-water Cape hake,Merluccius capensis,Least Concern,Unknown
Short mackerel,Rastrelliger brachysoma,Data Deficient,Unknown
Short-finned eel,Anguilla australis,Near Threatened,Unknown
Shortbeard cusk-eel,Lepophidium brevibarbe,Least Concern,Unknown
Shortbill spearfish,Tetrapturus angustirostris,Data Deficient,Unknown
Shortfin mako,Isurus oxyrinchus,Endangered,Decreasing
Shortfin scad,Decapterus macrosoma,Least Concern,Unknown
Shorthead anchovy,Encrasicholina heteroloba,Least Concern,Unknown
Shortspine African angler,Lophius vaillanti,Least Concern,Unknown
Shortspine thornyhead,Sebastolobus alascanus,Endangered,
Shrimp scad,Alepes djedaba,Least Concern,Unknown
Sidespot goatfish,Parupeneus pleurostigma,Least Concern,Unknown
Silk snapper,Lutjanus vivanus,Least Concern,Decreasing
Silver grunt,Pomadasys argenteus,Least Concern,Stable
Silver hake,Merluccius bilinearis,Near Threatened,Unknown
Silver scabbardfish,Lepidopus caudatus,Data Deficient,Unknown
Silver-stripe round herring,Spratelloides gracilis,Least Concern,Unknown
Silvery John dory,Zenopsis conchifer,Least Concern,Stable
Sind sardinella,Sardinella sindensis,Least Concern,Unknown
Sixblotch hind,Cephalopholis sexmaculata,Least Concern,Unknown
Skipjack tuna,Katsuwonus pelamis,Least Concern,Decreasing
Slender rainbow sardine,Dussumieria elopsoides,Least Concern,Unknown
Slender thread herring,Opisthonema bulleri,Least Concern,Unknown
Slender tuna,Allothunnus fallai,Least Concern,Stable
Small red scorpionfish,Scorpaena notata,Least Concern,Unknown
Small toothed jobfish,Aphareus furca,Least Concern,Unknown
Smallscaled grouper,Epinephelus polylepis,Least Concern,Decreasing
Smalltoothed pellonula,Pellonula leonensis,Least Concern,Unknown
Smooth puffer,Lagocephalus laevigatus,Least Concern,Unknown
Snake blenny,Ophidion barbatum,Least Concern,Unknown
Snowy grouper,Hyporthodus niveatus,Vulnerable,Decreasing
Snubnose pompano,Trachinotus blochii,Least Concern,Unknown
Sockeye(=Red) salmon,Oncorhynchus nerka,Least Concern,Stable
Solenette,Buglossidium luteum,Least Concern,Unknown
Sompat grunt,Pomadasys jubelini,Least Concern,Unknown
Sonora scorpionfish,Scorpaena sonorae,Least Concern,Unknown
Sordid rubberlip,Plectorhinchus sordidus,Least Concern,Unknown
South American pilchard,Sardinops sagax,Least Concern,Unknown
Southern African anchovy,Engraulis capensis,Least Concern,Unknown
Southern bluefin tuna,Thunnus maccoyii,Endangered,Increasing
Southern green abalone,Haliotis fulgens,Critically Endangered,Decreasing
Spanish ling,Molva macrophthalma,Least Concern,Unknown
Spicule anchovy,Anchoa spinifer,Least Concern,Unknown
Spinycheek grouper,Epinephelus diacanthus,Least Concern,Decreasing
Spotted goatfish,Pseudupeneus maculatus,Least Concern,Unknown
Spotted grouper,Epinephelus analogus,Least Concern,Stable
Spotted rose snapper,Lutjanus guttatus,Least Concern,Unknown
Spotted sand bass,Paralabrax maculatofasciatus,Least Concern,Unknown
Spotted sardinella,Amblygaster sirm,Least Concern,Unknown
Spotty-face anchovy,Stolephorus waitei,Data Deficient,Unknown
Squaretail coralgrouper,Plectropomus areolatus,Vulnerable,Decreasing
Starry flounder,Platichthys stellatus,Least Concern,Stable
Starry grouper,Epinephelus labriformis,Least Concern,Stable
Starspotted grouper,Epinephelus hexagonatus,Least Concern,Stable
Streaked gurnard,Chelidonichthys lastoviza,Least Concern,Unknown
Striped bonito,Sarda orientalis,Least Concern,Unknown
Striped piggy,Pomadasys stridens,Least Concern,Unknown
Sulphur goatfish,Upeneus sulphureus,Least Concern,Stable
Summan grouper,Epinephelus summana,Least Concern,Unknown
Surmullet,Mullus surmuletus,Least Concern,Unknown
Swallowtail seaperch,Anthias anthias,Least Concern,Stable
Talang queenfish,Scomberoides commersonnianus,Least Concern,Unknown
Thickback sole,Microchirus variegatus,Least Concern,Unknown
Thicklip grey mullet,Chelon labrosus,Least Concern,Unknown
Tiger grouper,Mycteroperca tigris,Data Deficient,Decreasing
Toli shad,Tenualosa toli,Vulnerable,Decreasing
Tomato hind,Cephalopholis sonnerati,Least Concern,Stable
Tomtate grunt,Haemulon aurolineatum,Least Concern,Decreasing
Torpedo scad,Megalaspis cordyla,Least Concern,Unknown
Trout sweetlips,Plectorhinchus pictus,Least Concern,Unknown
Tub gurnard,Chelidonichthys lucerna,Least Concern,Unknown
Tuberculate abalone,Haliotis tuberculata,Vulnerable,Decreasing
Turbot,Scophthalmus maximus,Least Concern,Decreasing
Twaite shad,Alosa fallax,Least Concern,Stable
Two-spot red snapper,Lutjanus bohar,Least Concern,Unknown
Vadigo,Campogramma glaycos,Least Concern,Stable
Vermilion snapper,Rhomboplites aurorubens,Vulnerable,Decreasing
Wahoo,Acanthocybium solandri,Least Concern,Stable
Warsaw groupes,Hyporthodus nigritus,Near Threatened,Unknown
Wedge sole,Dicologlossa cuneata,Least Concern,Unknown
Wellington flying squid,Nototodarus sloanii,Least Concern,Unknown
West African Spanish mackerel,Scomberomorus tritor,Least Concern,Unknown
West African goatfish,Pseudupeneus prayensis,Vulnerable,Decreasing
